PMID|PaperTitle|Authors|PublicationDate|Abstract|Keywords
32816921|Recovery of endoscopy services in the era of COVID-19: recommendations from an international Delphi consensus.|Bhandari, Pradeep; Subramaniam, Sharmila; Bourke, Michael J; Alkandari, Asma; Chiu, Philip Wai Yan; Brown, James F; Keswani, Rajesh N; Bisschops, Raf; Hassan, Cesare; Raju, Gottumukkala S; Muthusamy, V Raman; Sethi, Amrita; May, Gary R; Albéniz, Eduardo; Bruno, Marco; Kaminski, Michal Filip; Alkhatry, Maryam; Almadi, Majid; Ibrahim, Mostafa; Emura, Fabian; Moura, Eduardo; Navarrete, Claudio; Wulfson, Adolfo; Khor, Christopher; Ponnudurai, Ryan; Inoue, Haruhiro; Saito, Yutaka; Yahagi, Naohisa; Kashin, Sergey; Nikonov, Evgeniy; Yu, Honggang; Maydeo, Amit P; Reddy, D Nageshwar; Wallace, Michael B; Pochapin, Mark Bennett; Rösch, Thomas; Sharma, Prateek; Repici, Alessandro; |2020 08 14|The COVID-19 pandemic has had a profound impact on provision of endoscopy services globally as staff and real estate were repurposed. As we begin to recover from the pandemic, a cohesive international approach is needed, and guidance on how to resume endoscopy services safely to avoid unintended harm from diagnostic delays. The aim of these guidelines is to provide consensus recommendations that clinicians can use to facilitate the swift and safe resumption of endoscopy services. An evidence-based literature review was carried out on the various strategies used globally to manage endoscopy during the COVID-19 pandemic and control infection. A modified Delphi process involving international endoscopy experts was used to agree on the consensus statements. A threshold of 80% agreement was used to establish consensus for each statement. 27 of 30 statements achieved consensus after two rounds of voting by 34 experts. The statements were categorised as pre-endoscopy, during endoscopy and postendoscopy addressing relevant areas of practice, such as screening, personal protective equipment, appropriate environments for endoscopy and infection control precautions, particularly in areas of high disease prevalence. Recommendations for testing of patients and for healthcare workers, appropriate locations of donning and doffing areas and social distancing measures before endoscopy are unique and not dealt with by any other guidelines. This international consensus using a modified Delphi method to produce a series of best practice recommendations to aid the safe resumption of endoscopy services globally in the era of COVID-19.|endoscopy; infectious disease; 
32808107|Association of De Ritis ratio with oncological outcomes in patients with non-muscle invasive bladder cancer (NMIBC).|Laukhtina, Ekaterina; Mostafaei, Hadi; D'Andrea, David; Pradere, Benjamin; Quhal, Fahad; Mori, Keiichiro; Miura, Noriyoshi; Schuettfort, Victor M; Sari Motlagh, Reza; Aydh, Abdulmajeed; Abufaraj, Mohammad; Karakiewicz, Pierre I; Enikeev, Dmitry; Kimura, Shoji; Shariat, Shahrokh F; |2020 08 17|The De Ritis ratio (aspartate aminotransferase/alanine aminotransferase, DRR) has been linked to oncological outcomes in several cancers. We aimed to assess the association of DRR with recurrence-free survival (RFS) and progression-free survival (PFS) in patients with non-muscle-invasive bladder cancer (NMIBC).|Bladder cancer; De Ritis ratio; NMIBC; PFS; RFS; 
32794640|Evidence-based statistical analysis and methods in biomedical research (SAMBR) checklists according to design features.|Dwivedi, Alok Kumar; Shukla, Rakesh; |2019 08 22|Statistical analysis according to design features and objectives is essential to ensure the validity and reliability of the study findings and conclusions in biomedical research. Heterogeneity in reporting study design elements and conducting statistical analyses is often observed for the same study design and study objective in medical literatures. Sometimes, researchers face a lot of predicaments using appropriate statistical approaches highlighted by methodologists for a specific study design either due to lack of accessibility or understanding of statistical methods or unavailability of checklists related to design and analysis in a concise format. The purpose of this review is to provide the checklist of statistical analysis and methods in biomedical research (SAMBR) to applied researchers.|checklists; evidence-based statistical practice; statistical analysis; statistical methods; 
32730111|Mental Health Outcomes in Adolescent and Young Adult Female Cancer Survivors of a Sexual Minority.|Desai, Milli J; Gold, Rebecca S; Jones, Chelsea K; Din, Hena; Dietz, Andrew C; Shliakhtsitsava, Ksenya; Martinez, Maria Elena; Vaida, Florin; Su, Hui-Chun Irene; |2020 07 27|Purpose: Sexual minority (SM) individuals experience higher rates of anxiety and depression. Previous research on mental health disparities for SM cancer survivors has largely focused on adult survivors; however, studies are limited in the adolescent and young adult (AYA) population. This study's objective is to compare depression and anxiety symptoms between AYA, female cancer survivors who identify as an SM and those who identify as heterosexual. Methods: A cross-sectional analysis of 1025 AYA survivors aged 18-40 years (2015-2017) was performed. Patients self-reported SM identification and depression and anxiety symptoms, as measured by the Patient Health Questionnaire (PHQ8) and Generalized Anxiety Disorder Scale (GAD7), respectively. Multivariable logistic regression tested associations between SM identification and depression and anxiety. Results: Sixty-four participants (6%) identified as an SM. In adjusted analyses, SM participants had 1.88 higher odds of anxiety (odds ratio [OR] 1.88, confidence interval [95% CI] 1.05-3.35, p = 0.033) compared with heterosexual participants. SM participants did not have significantly higher odds of depression (OR 1.36, CI 0.75-2.47, p = 0.31). More social support was significantly associated with lower odds of depression (OR 0.91, CI 0.89-0.93, p < 0.001) and anxiety (OR 0.93, CI 0.91-0.94, p < 0.001). Conclusions: AYA cancer survivors identifying as an SM had nearly twice the odds of anxiety, with social support that is protective for both anxiety and depression. While mental health screening is recommended throughout the cancer care continuum, these data support the need for reliable screening, clinician awareness of increased vulnerability in the AYA, SM survivor population, and clinician training on culturally competent care and generation of evidence-based interventions.|LGBTQ; anxiety; depression; mental health; sexual minority; survivorship; 
32716694|A Systematic Review and Meta-Analysis of Variant Histology in Urothelial Carcinoma of the Bladder Treated with Radical Cystectomy.|Mori, Keiichiro; Abufaraj, Mohammad; Mostafaei, Hadi; Quhal, Fahad; Karakiewicz, Pierre I; Briganti, Alberto; Kimura, Shoji; Egawa, Shin; Shariat, Shahrokh F; |2020 07 27|The currently available evidence regarding the prognostic and clinical significance of each variant histology subtype of urothelial bladder cancer remains scarce. We assessed the prognostic value of variant histology in patients with urothelial carcinoma of the bladder treated with radical cystectomy.|cystectomy; histology; meta-analysis; urinary bladder neoplasms; 
32701468|A Quality Improvement Initiative: Improving Mammogram Screening Rates Among Low-income Hispanic Women in Primary Care.|Walker-Smith, Tammy Lynn; Baldwin, Sara; |2020 01 27|Low-income women of predominantly Hispanic ethnicity between the ages of 50-74 who receive primary care services in a South Texas region experienced a 12% disparity gap for women completing a screening mammogram in the last 2 years when compared to Hispanic women nationally.|Hispanic women; breast cancer risk assessment; primary care; screening mammogram; 
32698717|Microhematuria: AUA/SUFU Guideline.|Barocas, Daniel A; Boorjian, Stephen A; Alvarez, Ronald D; Downs, Tracy M; Gross, Cary P; Hamilton, Blake D; Kobashi, Kathleen C; Lipman, Robert R; Lotan, Yair; Ng, Casey K; Nielsen, Matthew E; Peterson, Andrew C; Raman, Jay D; Smith-Bindman, Rebecca; Souter, Lesley H; |2020 07 23|Patients presenting with microhematuria represent a heterogeneous population with a broad spectrum of risk for genitourinary malignancy. Recognizing that patient-specific characteristics modify the risk of underlying malignant etiologies, this guideline sought to provide a personalized diagnostic testing strategy.|CT Urogram; bladder cancer; cystoscopy; hematuria; urine markers; urothelial carcinoma; 
32698712|The Prognostic Impact of Intraductal Carcinoma of the Prostate: A Systematic Review and Meta-Analysis.|Miura, Noriyoshi; Mori, Keiichiro; Mostafaei, Hadi; Quhal, Fahad; Motlagh, Reza Sari; Pradere, Benjamin; Laukhtina, Ekaterina; D'Andrea, David; Saika, Takashi; Shariat, Shahrokh F; |2020 07 23|This systematic review and meta-analysis aimed to assess the prognostic impact of intraductal carcinoma of the prostate in patients with prostate cancer.|disease-free survival; progression-free survival; prostatic neoplasms; 
32642950|The effects of zinc on radiation-induced dysgeusia: a systematic review and meta-analysis.|Chi, Woo J; Myers, Jeffrey N; Frank, Steven J; Aponte-Wesson, Ruth A; Otun, Adegbenga O; Nogueras-González, Graciela M; Li, Yisheng; Geng, Yimin; Chambers, Mark S; |2020 11 24|Many head and neck cancer patients who receive radiation therapy experience radiation-induced dysgeusia (RID), which has no standard treatment. The only supplement controlled clinical trials have evaluated for the treatment of RID is zinc. However, the results of these and other studies investigating the use of zinc for RID have been inconsistent. To assess the validity of zinc as a treatment for RID, we conducted a systematic literature search and performed a meta-analysis to determine the extent to which zinc affects RID incidence and the degree to which ongoing RID responds to zinc.|Meta-analysis; Radiation-induced dysgeusia; Radiotherapy; Systematic review; Zinc; 
32637901|In-person vs. web-based administration of a problem-solving skills intervention for parents of children with cancer: Report of a randomized noninferiority trial.|Phipps, Sean; Fairclough, Diane L; Noll, Robert B; Devine, Katie A; Dolgin, Michael J; Schepers, Sasja A; Askins, Martha A; Schneider, Nicole M; Ingman, Kathleen; Voll, Megan; Katz, Ernest R; McLaughlin, Jeffery; Sahler, Olle Jane Z; |2020 06 27|Bright IDEAS (BI) problem-solving skills training is an evidence-based intervention designed to help parents manage the demands of caring for a child with cancer. However, the resource intensiveness of this in-person intervention has limited its widespread delivery. We conducted a multicenter, randomized trial with a noninferiority design to evaluate whether a web-based version of BI requiring fewer resources is noninferior to in-person administration.|Adjustment; Intervention; Parents; Pediatric cancer; Psychosocial; eHealth/mHealth; 
32624419|International consensus guidelines on surveillance for pancreatic cancer in chronic pancreatitis. Recommendations from the working group for the international consensus guidelines for chronic pancreatitis in collaboration with the International Association of Pancreatology, the American Pancreatic Association, the Japan Pancreas Society, and European Pancreatic Club.|Greenhalf, William; Lévy, Philippe; Gress, Thomas; Rebours, Vinciane; Brand, Randall E; Pandol, Steve; Chari, Suresh; Jørgensen, Maiken Thyregod; Mayerle, Julia; Lerch, Markus M; Hegyi, Péter; Kleeff, Jörg; Castillo, Carlos Fernández-Del; Isaji, Shuiji; Shimosegawa, Tooru; Sheel, Andrea; Halloran, Christopher M; Garg, Pramod; Takaori, Kyoichi; Besselink, Marc G; Forsmark, Chris E; Wilcox, C Mel; Maisonneuve, Patrick; Yadav, Dhiraj; Whitcomb, David; Neoptolemos, John; Neoptolemos, John; |2020 05 31|Patients with chronic pancreatitis (CP) have an increased risk of pancreatic cancer. We present the international consensus guidelines for surveillance of pancreatic cancer in CP.|CT scan; EUS; Genetics; Markers; Risk factors; Surgery; Treatment; 
32583884|Mailed fecal immunochemical test outreach for colorectal cancer screening: Summary of a Centers for Disease Control and Prevention-sponsored Summit.|Gupta, Samir; Coronado, Gloria D; Argenbright, Keith; Brenner, Alison T; Castañeda, Sheila F; Dominitz, Jason A; Green, Beverly; Issaka, Rachel B; Levin, Theodore R; Reuland, Daniel S; Richardson, Lisa C; Robertson, Douglas J; Singal, Amit G; Pignone, Michael; |2020 06 25|Uptake of colorectal cancer screening remains suboptimal. Mailed fecal immunochemical testing (FIT) offers promise for increasing screening rates, but optimal strategies for implementation have not been well synthesized. In June 2019, the Centers for Disease Control and Prevention convened a meeting of subject matter experts and stakeholders to answer key questions regarding mailed FIT implementation in the United States. Points of agreement included: 1) primers, such as texts, telephone calls, and printed mailings before mailed FIT, appear to contribute to effectiveness; 2) invitation letters should be brief and easy to read, and the signatory should be tailored based on setting; 3) instructions for FIT completion should be simple and address challenges that may lead to failed laboratory processing, such as notation of collection date; 4) reminders delivered to initial noncompleters should be used to increase the FIT return rate; 5) data infrastructure should identify eligible patients and track each step in the outreach process, from primer delivery through abnormal FIT follow-up; 6) protocols and procedures such as navigation should be in place to promote colonoscopy after abnormal FIT; 7) a high-quality, 1-sample FIT should be used; 8) sustainability requires a program champion and organizational support for the work, including sufficient funding and external policies (such as quality reporting requirements) to drive commitment to program investment; and 9) the cost effectiveness of mailed FIT has been established. Participants concluded that mailed FIT is an effective and efficient strategy with great potential for increasing colorectal cancer screening in diverse health care settings if more widely implemented.|colorectal cancer (CRC); colorectal neoplasms; evidence based; fecal immunochemical test (FIT); mailed outreach; 
32500759|The clinical pharmacology of the medical treatment for overactive bladder in adults.|Mostafaei, Hadi; Shariat, Shahrokh F; Salehi-Pourmehr, Hanieh; Janisch, Florian; Mori, Keiichiro; Quhal, Fahad; Hajebrahimi, Sakineh; |2020 06 16|Overactive bladder is a prevalent symptom complex that affects the patient's quality of life. Any disruption between the neuronal micturition pathway can lead to bladder overactivity. Neurogenic causes, myogenic causes, aging, bladder outlet obstruction, sex, and psychological factors are some of the factors contributing to bladder overactivity. The complaint of any symptoms of OAB, which is highly prevalent and affects overall QOL, often needs therapeutic interventions. When conservative therapy methods fail, the addition of medications is recommended. The most commonly used agents for the treatment of OAB are antimuscarinic drugs. New classes of drugs, such as beta-3 agonists, have enriched our pharmacologic armamentarium.|Pharmacotherapy; antimuscarinics; botulinum toxin-A; medical treatment; overactive bladder; β-adrenoceptor agonists; 
32475772|Executive summary of the American Radium Society® Appropriate Use Criteria for management of uterine carcinosarcoma.|Elshaikh, Mohamed A; Modh, Ankit; Jhingran, Anuja; Biagioli, Matthew C; Coleman, Robert L; Gaffney, David K; Harkenrider, Matthew M; Heskett, Karen; Jolly, Shruti; Kidd, Elizabeth; Lee, Larissa J; Li, Linna; Portelance, Lorraine; Sherertz, Tracy; Venkatessan, Aradhana M; Wahl, Andrew O; Yashar, Catheryn M; Small, William; |2020 05 29|Uterine carcinosarcomas (UCS) represent a rare but aggressive subset of endometrial cancers, comprising <5% of uterine malignancies. To date, limited prospective trials exist from which evidence-based management of this rare malignancy can be developed.|Carcinosarcoma; Chemotherapy; Hysterectomy; Radiotherapy; Uterine neoplasms; 
32451768|Prognostic value of preoperative hematologic biomarkers in urothelial carcinoma of the bladder treated with radical cystectomy: a systematic review and meta-analysis.|Mori, Keiichiro; Miura, Noriyoshi; Mostafaei, Hadi; Quhal, Fahad; Motlagh, Reza Sari; Lysenko, Ivan; Kimura, Shoji; Egawa, Shin; Karakiewicz, Pierre I; Shariat, Shahrokh F; |2020 05 26|This systematic review and meta-analysis aimed to assess the prognostic value of preoperative hematologic biomarkers in patients with urothelial carcinoma of the bladder treated with radical cystectomy. PUBMED, Web of Science, Cochrane Library, and Scopus databases were searched in September 2019 according to the Preferred Reporting Items for Systematic Review and Meta-analysis statement. Studies were deemed eligible if they compared cancer-specific survival in patients with urothelial carcinoma of the bladder with and without pretreatment laboratoryabnormalities. Formal meta-analyses were performed for this outcome. The systematic review identified 36 studies with 23,632 patients, of these, 32 studies with 22,224 patients were eligible for the meta-analysis. Several preoperative hematologic biomarkers were significantly associated with cancer-specific survival as follows: neutrophil - lymphocyte ratio (pooled hazard ratio [HR]: 1.20, 95% confidence interval [CI]: 1.11-1.29), hemoglobin (pooled HR: 0.87, 95% CI 0.82-0.94), C-reactive protein (pooled HR: 1.44, 95% CI 1.26-1.66), De Ritis ratio (pooled HR: 2.18, 95% CI 1.37-3.48), white blood cell count (pooled HR: 1.05, 95% CI 1.02-1.07), and albumin-globulin ratio (pooled HR: 0.26, 95% CI 0.14-0.48). Several pretreatment laboratory abnormalities in patients with urothelial carcinoma of the bladder were associated with cancer-specific mortality. Therefore, it might be useful to incorporate such hematologic biomarkers into prognostic tools for urothelial carcinoma of the bladder. However, given the study limitations including heterogeneity and retrospective nature of the primary data, the conclusions should be interpreted with caution.|Hematologic biomarker; Meta-analysis; Urothelial carcinoma of the bladder; 
32430255|Variability in adherence to guidelines based management of nonmuscle invasive bladder cancer among Society of Urologic Oncology (SUO) members.|Matulay, Justin T; Tabayoyong, William; Duplisea, Jonathan J; Chang, Courtney; Daneshmand, Siamak; Gore, John L; Holzbeierlein, Jeffrey M; Karsh, Lawrence I; Kim, Simon P; Konety, Badrinath R; Li, Roger; McKiernan, James M; Messing, Edward M; Steinberg, Gary D; Williams, Stephen B; Kamat, Ashish M; |2020 05 17|The American Urological Association (AUA) introduced evidence-based guidelines for the management of nonmuscle invasive bladder cancer (NMIBC) in 2016. We sought to assess the implementation of these guidelines among members of the Society of Urologic Oncology (SUO) with an aim to identifying addressable gaps.|Bladder cancer; Guidelines; Society of urologic oncology; Survey; 
32387663|Field cancerization: Treatment.|Cornejo, Christine M; Jambusaria-Pahlajani, Anokhi; Willenbrink, Tyler J; Schmults, Chrysalyne D; Arron, Sarah T; Ruiz, Emily S; |2020 05 06|The goal of field cancerization treatment is to reduce the risk of developing keratinocyte carcinoma. Selecting the appropriate therapy depends on the degree of field cancerization and the number of invasive cutaneous squamous cell carcinomas. Other considerations include treatment efficacy, cost, side effects, and patient preference. Field therapies are preferred because they address clinically visible disease and subclinical atypia. However, lesion-directed therapies are useful for lesions that are more difficult to treat or those where a histologic diagnosis is required. Patients with extensive field cancerization benefit from a combination of field-directed and lesion-directed treatments. The second article in this continuing medical education series provides a framework to guide evidence-based decision making for field cancerization treatment.|actinic keratoses; cutaneous squamous cell carcinoma; field cancerization; keratinocyte carcinoma; solid organ transplant recipient; 
32361152|The Use of Bronchoscopy During the Coronavirus Disease 2019 Pandemic: CHEST/AABIP Guideline and Expert Panel Report.|Wahidi, Momen M; Shojaee, Samira; Lamb, Carla R; Ost, David; Maldonado, Fabien; Eapen, George; Caroff, Daniel A; Stevens, Michael P; Ouellette, Daniel R; Lilly, Craig; Gardner, Donna D; Glisinski, Kristen; Pennington, Kelly; Alalawi, Raed; |2020 05 01|The coronavirus disease 2019 (COVID-19) has swept the globe and is causing significant morbidity and mortality. Given that the virus is transmitted via droplets, open airway procedures such as bronchoscopy pose a significant risk to health-care workers (HCWs). The goal of this guideline was to examine the current evidence on the role of bronchoscopy during the COVID-19 pandemic and the optimal protection of patients and HCWs.|COVID-19; bronchoscopy; personal protective equipment; 
32351923|Using Intervention Mapping to Develop Health Education and Health Policy Components to Increase Breast Cancer Screening and Chemotherapy Adherence Among Syrian and Iraqi Refugee Women in Beirut, Lebanon.|Sacca, Lea; Markham, Christine; Fares, Johny; |2020 04 15|Introduction: Despite the continuous increase in the incidence of metastatic breast cancer among Syrian and Iraqi refugee women residing in camp settings in Lebanon, mammography and chemotherapy adherence rates remain low due to multiple social, economic, and environmental interfering factors. This in turn led to an alarming increase in breast cancer morbidity and mortality rates among the disadvantaged population. Methods: Intervention mapping, a systematic approach which guides researchers and public health experts in the development of comprehensive evidence-based interventions (EBIs) was used to plan a health education and health policy intervention to increase breast cancer screening and chemotherapy adherence among Iraqi and Syrian refugee women aged 30 and older who are residing in refugee camps within the Beirut district of Lebanon. Results: The generation of the logic model during the needs assessment phase was guided by an extensive review of the literature and reports published in peer-reviewed journals or by international/local organizations in the country to determine breast cancer incidence and mortality rates among refugee women of Syrian and Iraqi nationalities. The underlying behavioral and environmental determinants of the disease were identified from qualitative and quantitative studies carried out among the target population and also aided in assessing the sub-behaviors related to the determinants of breast cancer screening and chemotherapy completion as well as factors affecting policy execution to formulate performance objectives. We then developed matrices of change objectives and their respective methods and practical applications for behavior change at the intrapersonal, interpersonal, organizational, and societal levels. Both educational components (brochures, flyers) and technological methods (videos disseminated via Whats app and Facebook) will be adopted to apply the different methods selected (modeling, self-reevaluation, consciousness raising, persuasion, and tailoring). We also described the development of the educational and technological tools, in addition to providing future implementers with methods for pre-testing and pilot-testing of individual and environmental prototype components. Conclusion: The use of intervention mapping in the planning and implementation of holistic health promotion interventions based on information collected from published literature, case reports, and theory can integrate the multiple disciplines of public health to attain the desired behavioral change.|breast cancer; education; intervention mapping; policies; refugee women; 
32302940|Evidence-based review of genomic aberrations in B-lymphoblastic leukemia/lymphoma: Report from the cancer genomics consortium working group for lymphoblastic leukemia.|Akkari, Yassmine M N; Bruyere, Helene; Hagelstrom, R Tanner; Kanagal-Shamanna, Rashmi; Liu, Jie; Luo, Minjie; Mikhail, Fady M; Pitel, Beth A; Raca, Gordana; Shago, Mary; Shao, Lina; Smith, Lisa R; Smolarek, Teresa A; Yenamandra, Ashwini; Baughn, Linda B; |2020 03 21|Clinical management and risk stratification of B-lymphoblastic leukemia/ lymphoma (B-ALL/LBL) depend largely on identification of chromosomal abnormalities obtained using conventional cytogenetics and Fluorescence In Situ Hybridization (FISH) testing. In the last few decades, testing algorithms have been implemented to support an optimal risk-oriented therapy, leading to a large improvement in overall survival. In addition, large scale genomic studies have identified multiple aberrations of prognostic significance that are not routinely tested by existing modalities. However, as chromosomal microarray analysis (CMA) and next-generation sequencing (NGS) technologies are increasingly used in clinical management of hematologic malignancies, these abnormalities may be more readily detected. In this article, we have compiled a comprehensive, evidence-based review of the current B-ALL literature, focusing on known and published subtypes described to date. More specifically, we describe the role of various testing modalities in the diagnosis, prognosis, and therapeutic relevance. In addition, we propose a testing algorithm aimed at assisting laboratories in the most effective detection of the underlying genomic abnormalities.|B-ALL; Chromosomal microarray Analysis; Diagnosis; FISH; NGS; Prognosis; 
32165040|Outcomes Among Minority Patients With Metastatic Colorectal Cancer in a Safety-net Health Care System.|Lau-Min, Kelsey; Prakash, Preeti; Jo, Eunji; Thrift, Aaron P; Hilsenbeck, Susan; Musher, Benjamin L; |2020 01 02|Metastatic colorectal cancer (CRC) outcomes continue to improve, but they vary significantly by race and ethnicity. We hypothesize that these disparities arise from unequal access to care.|Black; Disparities; Hispanic; Stage 4; Survival; Underserved; 
32157608|A telephone-based education and support intervention for Rural Breast Cancer Survivors: a randomized controlled trial comparing two implementation strategies in rural Florida.|Meneses, Karen; Pisu, Maria; Azuero, Andres; Benz, Rachel; Su, Xiaogang; McNees, Patrick; |2020 03 10|To compare two implementation telephone-based strategies of an evidence-based educational and support intervention to Rural Breast Cancer Survivors (RBCS) in which education was delivered early or after the support component.|Breast cancer; Cancer survivorship; Implementation; Neoplasm; Quality of life; Rural health; 
32127252|Prognostic role of preoperative De Ritis ratio in upper tract urothelial carcinoma treated with nephroureterectomy.|Mori, Keiichiro; Janisch, Florian; Mostafaei, Hadi; Kimura, Shoji; Lysenko, Ivan; Karakiewicz, Pierre I; Briganti, Alberto; Enikeev, Dmitry V; Rouprêt, Morgan; Margulis, Vitaly; Chlosta, Piotr; Nyirady, Peter; Babjuk, Marek; Egawa, Shin; Shariat, Shahrokh F; |2020 02 29|To validate the predictive and prognostic role of the De Ritis ratio in patients with upper tract urothelial carcinoma (UTUC) treated with radical nephroureterectomy in a large multi-institutional cohort.|De Ritis ratio; Lymph node metastasis; Nephroureterectomy; Nonorgan-confined disease; Upper tract urothelial carcinoma; 
32098487|Psychedelics and Psychedelic-Assisted Psychotherapy.|Reiff, Collin M; Richman, Elon E; Nemeroff, Charles B; Carpenter, Linda L; Widge, Alik S; Rodriguez, Carolyn I; Kalin, Ned H; McDonald, William M; McDonald, William M; |2020 02 26|The authors provide an evidenced-based summary of the literature on the clinical application of psychedelic drugs in psychiatric disorders.|Ayahuasca; Drug-Psychotherapy Combination; Lysergic Acid Diethylamide; MDMA; Psilocybin; Psychedelics; 
32092844|The Healthy Cooking Index does not Predict the Carotenoid Content of Home-Cooked Meals.|Raber, Margaret; Basen-Engquist, Karen; Moran, Nancy E; Chandra, Joya; |2020 02 19|Home cooking programs are an increasingly popular approach to nutrition education and have the potential to promote diet quality among pediatric cancer survivors. A cornerstone of many programs is the use of fresh fruits and vegetables, which may support increased intake of many food components, including carotenoids, to improve survivor health. However, most dietary carotenoids in the United States currently come from processed vegetables, and it is unclear if the emphasis on fresh fruits and vegetables common in cooking education programs is associated with the total carotenoid content of meals. The objective of this analysis is to examine the relationship between fresh produce usage, practices commonly taught in healthy home cooking classes, and the carotenoid content of prepared meals among 40 parents with school-aged children. This is a secondary analysis of an observational study examining the quality of home cooking practices using an evidence-based index of behaviors, the Healthy Cooking Index (HCI). Nutrition-optimizing cooking practices, as quantified by the HCI, were not associated with the carotenoid content of meals (r = -0.24, p = 0.13). Further, total fruit and vegetable content of meals was not associated with total carotenoids (r = 0.14; p = 0.38), indicating heterogeneity in the carotenoid profiles of foods used by this population. High-carotenoid meals tended to use more canned and/or frozen tomato and vegetable products, and carotenoid content was associated with meals with sugar (r = 0.32; p = 0.04), and servings of refined grains (r = 0.49; p < 0.01). Our findings indicate an opportunity to educate pediatric cancer survivors and families on the incorporation of high-carotenoid food products while reducing refined grain and sweetener intake through a tailored home cooking intervention.|cancer survivorship; carotenoids; food preparation; nutrition education; 
32088103|Prognostic value of preoperative blood-based biomarkers in upper tract urothelial carcinoma treated with nephroureterectomy: A systematic review and meta-analysis.|Mori, Keiichiro; Janisch, Florian; Mostafaei, Hadi; Lysenko, Ivan; Kimura, Shoji; Egawa, Shin; Shariat, Shahrokh F; |2020 02 20|This systematic review and meta-analysis assessed the prognostic value of preoperative blood-based biomarkers in patients with upper tract urothelial carcinoma (UTUC) treated with nephroureterectomy.|Blood-based biomarker; Meta-analysis; Upper tract urothelial carcinoma; 
32082567|Evaluating sustainability in the Childhood Obesity Research Demonstration project: the model and process.|Lee, Rebecca E; Kao, Dennis; Parker, Nathan H; Hallett, Allen M; Kochi, Camila Y; Modelska, Maria J; Rifai, Hanadi S; O'Connor, Daniel P; |2020 02 13|In the context of health-related interventions, sustainability is the capacity to maintain the changes resulting from the intervention. These can be improved policies, practices or trends intended to improve population health. The Childhood Obesity Research Demonstration (CORD) project was a multi-site, multi-intervention collaboration testing the Obesity Chronic Care Model with interventions for childhood obesity prevention and management. We present the model, definitions and methodology used for the cross-site sustainability evaluation of CORD.|Children; Community; Diet; Intervention study; Organization; Physical activity; 
32012084|Use of Evidence-Based Best Practices and Behavior Change Techniques in Breast Cancer Apps: Systematic Analysis.|Kalke, Kerstin; Ginossar, Tamar; Bentley, Joshua M; Carver, Hannah; Shah, Sayyed Fawad Ali; Kinney, Anita Y; |2020 01 24|Theoretically designed mobile health (mHealth) breast cancer interventions are essential for achieving positive behavior change. In the case of breast cancer, they can improve the health outcomes of millions of women by increasing prevention and care efforts. However, little is known about the theoretical underpinnings of breast cancer apps available to the general public.|breast cancer; health apps; health behavior; mHealth; mobile apps; 
32004776|Nonpharmacological interventions for cancer-related cognitive impairment in adult cancer patients: A network meta-analysis.|Zeng, Yingchun; Dong, Juntao; Huang, Meiling; Zhang, Jun-E; Zhang, Xiaoming; Xie, Man; Wefel, Jeffrey S; |2020 01 03|Conventional meta-analyses can only provide direct comparison evidence, and the best options of nonpharmacological interventions for cancer-related cognitive impairment remain largely unknown.|Adult cancer patients; Cancer-related cognitive impairment; Network meta-analysis; Nonpharmacological interventions; 
32000812|QuitSMART Utah: an implementation study protocol for a cluster-randomized, multi-level Sequential Multiple Assignment Randomized Trial to increase Reach and Impact of tobacco cessation treatment in Community Health Centers.|Fernandez, Maria E; Schlechter, Chelsey R; Del Fiol, Guilherme; Gibson, Bryan; Kawamoto, Kensaku; Siaperas, Tracey; Pruhs, Alan; Greene, Tom; Nahum-Shani, Inbal; Schulthies, Sandra; Nelson, Marci; Bohner, Claudia; Kramer, Heidi; Borbolla, Damian; Austin, Sharon; Weir, Charlene; Walker, Timothy W; Lam, Cho Y; Wetter, David W; |2020 01 30|Tobacco use remains the leading cause of death and disability in the USA and is disproportionately concentrated among low socioeconomic status (SES) populations. Community Health Centers (CHCs) are a key venue for reaching low SES populations with evidence-based tobacco cessation treatment such as Quitlines. Electronic health record (EHR)-based interventions at the point-of-care, text messaging (TM), and phone counseling have the potential to increase Quitline reach and are feasible to implement within CHCs. However, there is a lack of data to inform how, when, and in what combination these strategies should be implemented. The aims of this cluster-randomized trial are to evaluate multi-level implementation strategies to increase the Reach (i.e., proportion of tobacco-using patients who enroll in the Quitline) and Impact (i.e., Reach × Efficacy [efficacy is defined as the proportion of tobacco-using patients who enroll in Quitline treatment that successfully quit]) and to evaluate characteristics of healthcare system, providers, and patients that may influence tobacco-use outcomes.|Adaptive intervention; Health information technology; Implementation science; Implementation strategy; Quitline; Tobacco cessation; 
31995432|Differential Effect of Sex on Outcomes after Radical Surgery for Upper Tract and Bladder Urothelial Carcinoma: A Systematic Review and Meta-Analysis.|Mori, Keiichiro; Mostafaei, Hadi; Enikeev, Dmitry V; Lysenko, Ivan; Quhal, Fahad; Kimura, Shoji; Karakiewicz, Pierre I; Egawa, Shin; Shariat, Shahrokh F; |2020 01 29|We assessed the prognostic value of sex differences in upper tract urothelial carcinoma and urothelial carcinoma of the bladder treated with radical surgery.|carcinoma; meta-analysis; review [publication type]; transitional cell; urinary bladder neoplasms; 
